"|aDevelopment of a spectroelectrochemical sensor for ferrocyanide /|cby Mila Maizels |aMaizels, Mila"
"|aCadmium-induced forelimb ectrodactyly :|ba proposed mechanism of teratogenesis /|cby Maureen Hedwig Kuczuk |aKuczuk, Maureen Hedwig"
"|aAn approach to the problem of evaluation in multivariate classification,|cby Richard Mojena |aMojena, Richard"
"|aTrends and patterns in international tourism in Jordan /|cby Habis S. Erheil |aErheil, Habis S"
"|aA study of surficial processes and geomorphic history of a basin in the Sonoran Desert, Southwestern Arizona /|cby Stephen G. Wells |aWells, Stephen Gene"
"|aThe effect of age, stimulus temperature and response variability on fixation suppression of vestibular nystagmus /|cby Kenneth G. Henry |aHenry, Kenneth G"
"|aA numerical study of strongly correlated electron systems /|cby Alireza Niki Tahvildarzadeh |aTahvildarzadeh, Alireza Niki"
"|aPrinciples before practice :|bthe reform of medical education in Cincinnati before and after the Flexner report, 1870-1930 /|cby Ellen Corwin Cangi |aCangi, Ellen Corwin"
"|aOn cones of endormorphisms,|cby Ralph L. Fairchild |aFairchild, Ralph L"
"|aThe impact of newborn sickle cell testing on maternal attitudes toward child rearing :|ba simulation study /|cby Reginald L. Jones |aJones, Reginald L"
"|aRole of fibroblast growth factor-2 in cardiovascular development and function /|cby Ming Zhou |aZhou, Ming"
"|aRelationship between communication channel clearance and linguistic rules :|blearning disabled and normal learning language usage/|cby Betty June Herron |aHerron, Betty June"
"|aMale dimorphism and species recognition in the jumping spider, Maevia inclemens (Araneae: Salticidae) /|cby David L. Clark |aClark, David L"
"|aThe role of N-CAM-mediated cell-cell adhesion in invasion /|cby Susann Brady-Kalnay |aBrady-Kalnay, Susann"
"|aDeWitt Parker, foundations of human values /|cby G. L. Garrison |aGarrison, G. L"
"|aInvestigation of three-dimensional viscous flow in ducts with arbitrarily varying cross-sections using surface-oriented coordinate system /|cby K. Sathyanarayana |aSathyanarayana, K.|q(Kurabalakota)"
"|aWomen's roles ;|ban attitudinal and behavioral survey /|cby Elizabeth Jaffer Keys |aKeys, Elizabeth Jaffer"
"|aVoltages induced in superconductors in superimposed AC and DC magnetic fields,|cby Melvin Charles Ohmer |aOhmer, Melvin Charles"
"|aKiowa Indian art:|bwatercolor paintings in color by the Indians of Oklahoma;|cthe introduction by Oscar Brousse Jacobson |aJacobson, Oscar Brousse,|d1882-"
"|aYttrium barium copper oxide superconducting powder generation by an aerosol process /|cby Derong Zhou |aZhou, Derong"
"|aA conductor's study of musical motion and sources of invention in selected choral works by John Tavener /|cby Sue T. Klausmeyer |aKlausmeyer, Sue T"
"|aStudies on developmental biology of nematodes with emphasis on Trichinella spiralis and nematospiroides dubius in larval and adult stages,|cby Thomas P. Bonner |aBonner, Thomas P"
"|aRelative transport roles of chorioallantic and yolk sac placentae on the 12th and 13th days of gestation,|cby Joseph Franklin Holson, Jr |aHolson, Joseph Franklin"
"|aWindow development and detection in soil-bentonite cutoff walls /|cby Koon Wah Ling |aLing, Koon Wah"
"|aA study of auditory brainstem response (ARB) stimulus-related variants in normal hearing ahd high frequency hearing loss subjects /|cby Gene K. Balzer |aBalzer, Gene K"
"|aInterpersonal influence in a project organization :|ba role set analysis /|cby Gayle Baugh |aBaugh, Gayle"
"|aThe contribution of leadership, supportive environment, and individual attributes to creative performance :|ba quantitative field study /|cby Pamela Tierney |aTierney, Pamela"
"|aAgglomerative aspects of metallurgical coke production in the United States :|bfacility groupings, combinations, and spatial structure /|cby Raymond Lee |aLee, Raymond"
"|aInteraction energies in non-stoichiometric ZRx?Nb?1?-x?Cy,|cby Choll Kyu Jun |aJun, Choll Kyu"
"|aPoet and composer--an amalgamation :|ba singer's study of Harmonium a song cycle by Vincent Persichetti with poetry by Wallace Stevens /|cby Kerry E. Walters |aWalters, Kerry E"
"|aThe embryogeny of pastinaca sativa,|cby Floyd E. Beghtel |aBeghtel, Floyd E"
"|aAn examination of important Germanic nineteenth-century musical settings of Goethe's Harfenspieler"" poems /|cby Russell John Hosler, Jr |aHosler, Russell John"""
"|aOn the fourth day of the sixth moon /|cby Brian C. Russo |aRusso, Brian C"
"|aA study of the self-perception of the leadership behavior of presidents of black four year colleges and universities /|cby Myrtis Hall-Mosely |aMosely, Myrtis Hall"
"|aExpectations and economic policy for a small open economy :|ba disequilibrium analysis /|cby Pedro Nel Ospina Santa Maria |aOspina Santa Maria, Pedro Nel"
"|aTherapist sex-role orientation, sex-role attitudes and response to male and female client affect /|cby Mark David Solomon |aSolomon, Mark David"
"|aThe equation Xn? ?+ Yn? ?+ Zn? = O in rational binary matrices,|cby Harvey Meredith Weitkamp |aWeitkamp, Harvey Meredith"
"|aThe medical problems of asbestosis,|cby Gerald William Grawey |aGrawey, Gerald William"
"|aLead toxicity and the free radical oxidation of biomembranes /|cBenjamin B. Gelman |aGelman, Benjamin B"
"|aDetermining the size and electrical charge of airborne particles by the combined use of optical and filtration properties /|cby Frank B. Liebhaber, Jr |aLiebhaber, Frank B"
"|aThe investment process in the iron and steel industry :|bdimensions and determinants /|cby Antonio J. Bailetti |aBailetti, Antonio Jose"
"|aThe songs of Walter Rabl /|cby Melissa Malde |aMalde, Melissa"
"|aDiagonally dominant linear systems |aBerkey, Dennis D"
"|aA critical evaluation of the Ethiopian National Literary Campaign :|bproblems, failures, achievements, and prospects /|cby Tilahun Sineshaw |aSineshaw, Tilahun"
"|aThe evaluation of polymeric materials and the development of platinum conductivity cells for use in the fabrication of electrochemical relative humidity sensors /|cby Karen Lynn Rauen |aRauen, Karen Lynn"
"|aOptimal productivity for solid waste collection :|ba systems approach /|cby Robert M. Clark |aClark, Robert Maurice"
"|aAnalysis of occupational disease laws|b-- some medicological aspects,|cby William Getz Thuss |aThuss, William Getz"
"|aAn exploratory search for how an elementary principal's transformational leadership practices promote teacher professional development /|cby Susan Marie Hendershot |aHendershot, Susan Marie"
"|aThe distribution of aldrin and dieldrin in the tissues and body fluids of experimental animals,|cby Herbert E. Christensen |aChristensen, Herbert E"
"|aPredicting income velocity with money stock ratios :|btheory and implications /|cby Mark D. Karper |aKarper, Mark D"
"|aPartitioning processes at interfaces :|bchromatographic retention and bioavailability /|cby Mei-Ming Hsieh |aHsieh, Mei-Ming"
"|aOlder women's life choices and development after playing professional baseball /|cby Beth H. Hensley |aHensley, Beth H"
"|aLouise von François :|ba reinterpretation of her life and her odd woman"" fiction /|cby Linda Kraus Worley |aWorley, Linda Kraus"""
"|aState variable equation approach to dynamic input-output analysis /|cby Yan-Hseue Tzeng Wang |aWang, Yan-Hseue Tzeng"
"|aThe effect of high- and low-skilled consultants on teachers' perceptions of the causality of children's school-related problems /|cby Charlene Resa Ponti |aPonti, Charlene Resa"
"|aDark symphony /|cby Maurice McCall |aMcCall, Maurice Henderson"
"|aInvestigation of CO2 lasers for fusion research /|cby Reza Khonsari Mosavi |aMosavi, Reza Rhonsari"
"|aRomantic representation and the rhetoric of unfinished design /|cby Marc A. Thompson |aThompson, Marc A"
"|aOn form of folds /|cby Virginia J. Pfaff |aPfaff, Virginia J"
"|aDirect numerical simulation of transitions toward turbulence in complex channel flows /|cby Bradley D. Duncan |aDuncan, Bradley D"
"|aJapanese political parties and their China policies,|cby Michael Ik Hur |aHur, Michael Ik,|d1933-"
"|aFrom the work and writings of Clytus Gottwald, founder and director of the Schola Cantorum Stuttgart /|cby Constance DeFotis |aDeFotis, Constance"
"|aThe effects of heuristic teaching and instruction in problem-solving on the problem-solving performance, mathematics achievement, and attitudes of junior college arithmetic students /|cby Erika B. Truckson |aTruckson, Erika B"
"|aOptimal export policy reconsidered :|brole of imperfect information /|cby Jayoti Das |aDas, Jayoti"
"|aDecision-making, cultural politics and the development of personal power /|cby Robert B. Rogers |aRogers, Robert B"
"|aThe piano concerto in London concert life between 1801 and 1850 /|cby Therese Marie Ellsworth |aEllsworth, Therese Marie"
"|aThe natural world of value :|bJohn Dewey's philosophy of value /|cby David Paul Jackson |aJackson, David Paul"
"|aThe development of multielement techniques for the determination of volatile hydride-forming elements in complex samples /|cby Mark Hahn |aHahn, Mark"
"|aThe role of repression and induction in the control of biotin degradation by a pseudomonad,|cby Russell Jeffrey Baumann |aBaumann, Russell Jeffrey"
"|aOccupational self-direction and its relationship to involvement, efficacy, and effort /|cby Ruth E. Joffe |aJoffe, Ruth E"
"|aThe relationship between a first myocardial infarction and coping skills of marriage partners :|bhusband hospitalized with first myocardial infarction /|cby Shoshana D. LeVine |aLeVine, Shoshana D"
"|aParental support and juvenile delinquency :|ba test of social support theory /|cby John Paul Wright |aWright, John Paul"
"|aPartitioning for FPGA-based reconfigurable computers /|cby Vinoo N. Srinivasan |aSrinivasan, Vinoo N"
"|aA study of the relationship between specific job characteristics and teacher efficacy /|cby Jane Robertson Rees |aRees, Jane Robertson"
"|aOhio Psaronii /|cby Arthur Harry Blickle |aBlickle, Arthur Harry"
"|aThe piano music of Lee Hoiby /|cby Richard Allen Crosby |aCrosby, Richard Allen"
"|aPhysiological and behavioral characterization of the interaction between the nucleus raphe magnus and the lateral reticular nucleus :|brole in the descending analgesia system /|cby Anne Z. Murphy |aMurphy, Anne Z"
"|aThe analysis of the aliphatic fraction of air particulate matter,|cby Thomas Robert Hauser |aHauser, Thomas Robert"
"|aImage restoration on motion blurred picture /|cby Ezzeddin Abdalla Shita |aShita, Ezzeddin Abdalla"
"|aElephant alphabet /|ccompiled & illustrated by Maryline Poole Adams |aAdams, Maryline Poole"
"|aThe development of an analytical method for airborne toluene diisocyanate vapors /|cby Shau-Nong Chang |aChang, Shau-Nong"
"|aExploration and adaptation of silicon MEMS technology for development of water and liquid metal based micro heat pipes /|cby Padmaja Ramadas |aRamadas, Padmaja"
"|aThe effect of preschool experience on spatial perception /|cby Sister Mary Jean Plummer |aPlummer, Mary Jean"
"|aRegional aspects of growth in output and productivity among U.S. manufacturing industries: 1958-1969, by K. C. Taneja |aTaneja, Karam Chand"
"|aPreretirement planning programs and associated attitudes in Hamilton County, Ohio /|cby Kenneth C. Brinson |aBrinson, Kenneth Craig"
"|aTonal syntax in the first movement of Sibelius's Sixth Symphony /|cby Kaleel C. Skeirik |aSkeirik, Kaleel C."
"|aJacob Godfrey Schmidlapp papers,|f1895-1919 |aSchmidlapp, Jacob Godfrey,|d1849-1919"
"|aBehavioral and neurochemical consequences of methamphetamine-induced neurotoxicity /|cby Tanya L. Wallace |aWallace, Tanya L"
"|aTesting the air /|cby David Shevin |aShevin, David"
"|aThe loathly lady and the margins of the Middle Ages /|cby Samantha A. Jones |aJones, Samantha A"
"|aThe development and testing of a tool for assessing day-care home provider competencies /|cby Clara D. McGlone |aMcGlone, Clara D"
"|aMMPI overlap item scales for differentiating psychotics, neurotics, and nonpsychiatric groups /|cby Alan F. Friedman |aFriedman, Alan F"
"|aFabrication of advanced semiconductor lasers and other optoelectronic devices using focused ion beam technology /|cby Ping Chen |aCh?en, P?ing"
"|aIndividual differences in preference and satisfaction :|bthe moderating influence of involvement, need for cognition, and direction of comparison on the choice decision /|cby Susan Powell Mantel |aMantel, Susan Powell"
"|aThe history of physical education for girls in the public schools of Cincinnati, Ohio /|cby Margaret L. Driscoll |aDriscoll, Margaret L"
"|aSeer, sage, sophist, philosopher :|bthe emergence of philosophy in classical Athens /|cby Timothy W. Allen |aAllen, Timothy W"
"|aHigh-speed optical interconnects for video memory /|cby Amir Hanjani |aHanjani, Amir"
"|aAcquired hearing impairment amoung older females with psychopathology /|cby Lindsay Marjorie Stein |aStein, Lindsay Marjorie"
"|aLa Novelistica de Ramiro Pinilla /|cby Félix Menchacatorre Egaña |aMenchacatorre Egaña, Félix"
"|aInfrared matrix isolation studies :|bdevelopment of the oxide salt/molecule reaction technique /|cby Shelle J. David  |aDavid, Shelle J"
"|aPrecipitation reactions in austenitic stainless steels /|cby Yung-Shih Chen |aChen, Yung-Shih"
"|aA theory of feminist criticisms /|cby Ellen Messer-Davidow |aMesser-Davidow, Ellen"
"|aStudies in technetium chemistry applied to the practice of diagnostic nuclear medicine /|cby Karen Frances Libson |aLibson, Karen Frances"
"|aPhases of consultation with a professional music group /|cby Mary Veser Rinsky |aRinsky, Mary Veser"
"|aOptimal in-core fuel management for PWRs,|cby Krishan Kumar Chitkara |aChitkara, Krishan Kumar"
"|aManaging the implementation of information systems :|ba multiple industry investigation of process, information systems-user relationships and project outcomes /|cby John R. Weitzel |aWeitzel, John R"
"|aTeachers' and supervisors' perceptions concerning their open-space laboratories in business and office education in Ohio /|cby Dennis M. Devine |aDevine, Dennis M"
"|aThe processes and control of the microbial colonization and decomposition of plant litter in an arctic lake /|cby Thomas W. Federle |aFederle, Thomas Walter"
"|aEducation, wages and the laborpower model :|ba national perspective on the effects of the economy, occupation, race and sex upon the relationship between education and wages, 1954 to 1976 /|cby Dan M. McKee |aMcKee, Dan M"
"|aMechanism studies of the interaction between bicoid and DNA /|cby Dong Yuan |aYuan, Dong"
"|aThe Minnesota multiphasic personality inventory and posttraumatic stress disorder :|bclinical utility and contributions to construct validity /|cby Kevan McCutcheon |aMcCutcheon, Kevan"
"|aContribution of cationic and aromatic residues to activity of a unique neurotoxin, Cerebratulus lacteus B-IV /|cby Paul H. Wen |aWen, Paul H"
"|aStudies on the projection from the nucleus cuneiformis to the nucleus raphe magnus in the rat /|cby Randy C. Richter, M.D |aRichter, Randy C.,|cM.D"
"|aStudies on phosphine and phosphonite cationic technetium complexes as potential myocardial imaging agents /|cby Walter W. Hirth |aHirth, Walter W"
"|aThe usage of continuing education units in selected business organizations for determining employee recognition /|cby R. Kent. Curtis |aCurtis, R. Kent"
"|aAutoregulatory mechanisms controlling endogenous activation of the aromatic hydrocarbon (AH) receptor /|cby Ching-yi Chang |aChang, Ching-yi"
"|aA history of Robert Schumann's characteristic music for solo pianoforte :|ba study of the compositional process in sketches, autographs, and Stichvorlagen /|cby Michael Jude Luebbe |aLuebbe, Michael Jude"
"|aTransdermal permeation of vasopressin /|cby Partha Sarathi Banerjee |aBanerjee, Partha Sarathi"
"|aRedox reactions of robust metal complexes /|cby Mary Elizabeth Noon |aNoon, Mary Elizabeth"
"|aOn the experimental determination and use of modal representations of dynamic characteristics,|cby Albert Leonard Klosterman |aKlosterman, Albert L.,|d1942-"
"|aCharacteristics and control of biotin influx and efflux in Saccharomyces Cerevisiae,|cby Jeffrey Marvin Becker |aBecker, Jeffrey Marvin"
"|aVacuum evaporated iron films for the characterization of acid aerosols,|cby Sanford Welsh Horstman |aHorstman, Sanford Welsh,|d1938-"
"|aThe effect of phylloerythrin on blood formation,|cby Robert Reed McNary |aMcNary, Robert Reed"
"|aMother-daughter relationship and daughter's attitudes toward her children /|cby Vivian Fliman |aFliman, Vivian"
"|aRemains of the early popular poetry of England;|ccollected and edited, with introductions and notes, by W. Carew Hazlitt |aHazlitt, William Carew,|d1834-1913"
"|aThe relationship between fathers and father figures, the level of criminality, response to residential treatment, and other measures of adjustment in adolescent male offenders /|cby Megan Tennent Schrantz |aSchrantz, Megan Tennent"
"|aA study of the factors affecting adhesion of epoxy resin to metallic surface,|cby P.S. Sampath Kumaran |aKumaran, P. S. Sampath"
"|aDame Eleanor Hull's Meditacyons vpon the VII dayes of the woke :|bthe first edition of the Middle English translation in Cambridge University Library MS. Kk.i.6 /|cby Sheila H. Conard |aConard, Sheila H"
"|aA biography of William Holmes McGuffey /|cby James Arnold Scully |aScully, James Arnold"
"|aRole of additives in vapor phase synthesis of titania /|cby Muhammad Kamal Akhtar |aAkhtar, Muhammad Kamal"
"|aEffect of bromide on chlorination by-products other than trihalomethanes in finished drinking water /|cby Hossein Pourmoghaddas |aPourmoghaddas, Hossein"
"|aEquilibria of liquid iron and slags of the system CaO-MgO-FeO-SiO?2,|cby Charles Richard Taylor |aTaylor, Charles R.|q(Charles Richard),|d1910-"
"|aPhonemic distinctive feature encoding from visual information storage,|cby Frederick Henry Steinheiser |aSteinheiser, Frederick Henry"
"|aThe role of calmodulin in electric tissue molecular and cellular physiology /|cby Anthony L. Gotter |aGotter, Anthony L"
"|aThe effect of task difficulty and incentive on the manifestation of learned helplessness in humans /|cRonald Bale |aBale, Ronald Mark"
"|aStaging ethnicity, gender, and nation :|bGerman-language drama by female playwrights (1990-1996) /|cby Britta Kallin |aKallin, Britta"
"|aA new cooling method for metal-cutting tools,|cby Neal Powell Jeffries |aJeffries, Neal Powell"
"|aThe life and work of John Brombaugh, organ builder /|cby Marga Jeanne Morris Kienzle |a Kienzle Morris, Marga Jeanne "
"|aThe effects of self-disclosing and self-involving statements upon college women's intimacy of disclosure and their perceptions of the listener /|cby George Taylor Williams |aWilliams, George Taylor"
"|aThe relationship of cognitive style and self-reflective coping strategies to managing stress through the release of inhibition /|cby Gola James Short |aShort, Gola James"
"|aSelf-esteem as a mediator between the quality of interpersonal relationships in the family and children's social acceptance by peers /|cby Marcia L. Galvinhill |aGalvinhill, Marcia L"
"|aGender differences in disability among the older population /|cby Suzanne R. Kunkel |aKunkel, Suzanne R"
"|aA comparative study estimating the economic impact of Kentucky vocational education, 1970-1980 affecting local and national levels for the period 1970-1980 with the period 1960-1969 /|cby William A. Recker |aRecker, William A"
"|aLithofacies and depositional environments of Osagean-Meramecian platform carbonates southern Indiana, central and eastern Kentucky /|cby Donald J. Benson |aBenson, Donald Joe"
"|aA comparative study of selected health risk behaviors of Black and white clinic users /|cby Kim Anita Hitchcock |aHitchcock, Kim Anita"
"|aThe kalender of shepherdes;|bthe edition of Paris 1503 in photographic facsimile, a faithful reprint of R. Pynson's edition of London 1506.|cEdited with a critical introduction and glossary, by H. Oskar Sommer |aCompost et kalendrier des bergiers"
"|aThe Mestizaje of the canon represented in the works of Helena Maria Viramontes : |bEl Mestizaje del canon representado en las obras de Helena Maria Viramontes /|cby Lydia H. Rodríguez |aRodríguez, Lydia H"
"|aAn experiential study of personal change through social interaction /|cby Linda Jane Mower Pulliman |aPulliman Mower, Linda Jane"
"|aArgon laser photochemistry /|cby Karlyn A. Schnapp |aSchnapp, Karlyn A"
"|aPeer group strategies used by language impaired, multihandicapped girls in a free-time interaction /|cby Kathryn J. Stobbs |aStobbs, Kathryn J"
"|aSocio-linguistic interactions between two young children with disabilities and their play partners /|cby Pamelazita Wilbur Buschbacher |aBuschbacher, Pamelazita Wilbur"
"|aCyclodextrin versatility. Part 1. Binary and ternary cyclodextrin complexes with nonionic surfactants. Part 2. Utilization of sulfated beta-cyclodextyrin in preparative electrophoretic chiral separation of ritalin enantiomers/|cby Eva Schneiderman |aSchneiderman, Eva"
"|aThe phosphatidylinositol response in human T lymphocytes /|cby Ann Louise Akeson |aAkeson, Ann Louise"
"|aResearch and the teaching of English :|ba study of the productive researcher and his research practices in selected research on the teaching of English at the secondary level (1966-1971) /|cby Joanne Galbraith Shank |aShank, Joanne Galbraith"
"|aSynthesis and enzymology of modified ribonucleotides /|cby Vincent D. Antle |aAntle, Vincent D"
"|aSynthesis and characterization of novel random diblock"" copolymers /|cby Arman Ashraf |aAshraf, Arman"""
"|aA comparison of the philosophy of education with the philosophies of art, history and science /|cby Charles A. Tesconi |aTesconi, Charles A"
"|aStudies on the secondary structure of L-type voltage-dependent calcium channel pore regions /|cby Sheryl E. Koch |aKoch, Sheryl E"
"|aLa Otredad"" en Antonio Machado /|cby Abdón Sánchez |aSánchez, Abdón"""
"|aNo light apart /|cby Murray Bodo |aBodo, Murray"
"|aMSM photodetectors for 2D meander channel CCD imagers on GaAs /|cby Nercy Bozorgebrahimi |aBozorgebrahimi, Nercy"
"|aEffects of monosodium glutamate on the reproductive neuroendocrine axis of the hamster /|cby Thomas J. Tafelski |aTafelski, Thomas James"
"|aSynthesis of organo -- sulfur and nitrogen copounds-hydrazides, ketones and polythianes,|cby Thomas Gordon Kugele |aKugele, Thomas Gordon"
"|aA revision of the genus Pleuridium (Musci) /|cby Kwok Leung Yip |aYip, Kwok Leung"
"|aSimultaneous diffusion and chemical reaction of oxygen in whole blood in a wetted wall column,|cby John F. Hesselberth |aHesselberth, John Frederick,|d1941-"
"|aThe role of gastrointestinal flora in the enterohepatic circulation of diethylstilbestrol excreted in the bile as 0-glocuronides /|cby Karen Kohram |aKohrman, Karen Ann"
"|aMolecular analysis of Mycobacterium community shifts in soil during the biodegradation of polycyclic aromatic hydrocarbons /|cby Pui Yi Cheung |aCheung, Pui Yi"
"|aMill, shop, and factory :|bthe industrial life of Dayton, Ohio, 1830-1900,|cby Carl M. Becker |aBecker, Carl M"
"|aExcited state variational calculations with applications to ultraviolet spectroscopy,|cby Thoms M. Bustard |aBustard, Thomas Michael"
"|aSyntheses and photochemical isomerizations and cyclizations of 3-arylidene-2-pyrrolidones,|cby David Charles Armbruster |aArmbruster, David Charles"
"|aThe functional significance of structural isoforms of myosin heavy chain in smooth muscle /|cby Timothy Edwin Hewett |aHewett, Timothy Edwin"
"|aSynthesis and characterization of novel polypeptide hydrogels /|cby Éder Domingos de Oliveira |aOliveira, Éder Domingos de"
"|aThe effect of ethanol in uterine fluid on sperm integrity /|cby Helen M. Goeden |aGoeden, Helen M"
"|aTelevision programming evaluation :|ba need-gratification model for audience segmentatiion /|cby Teresa J. Domzal |aDomzal, Teresa J"
"|aOn globally feed-forward networks with local lateral connections /|cby Kwabena Agyepong |aAgyepong, Kwabena"
"|aA system: an ion kinetic energy spectrometer, computerized data acquisition and computerized data reduction,|cby Howard Evan Gard |aGard, Howard Evan"
"|aOral proficiency testing and language progress over time /|cby Isabel Parra Olivares |aOlivares, Isabel Parra"
"|aFamiliar voices in a new tongue :|bstylistic influences of Igor Stravinsky (1882-1971), Aaron Copland (1900-90), and Benjamin Britten (1913-76) on the organ works of Dan Locklair (B. 1949)/|cby Catherine Hicks |aHicks, Catherine"
"|aMatrix isolated infrared spectroscopic study of the oxidation reaction intermediates of electron donors by chromyl chloride /|cby Susan Rae Anderson |aAnderson, Susan Rae"
"|aMusic and language in Johann Hermann Schein's sacred works /|cby Wilhelm Schulte |aSchulte, Wilhelm"
"|aThe determinants and consequences of redistributive policy in the welfare sector :|ba casual time series analysis /|cby Robert L. Seufert |aSeufert, Robert L"
"|aSelf as content in teacher education /|cby Sister Mary Jo Poole |aPoole, Mary Jo"
"|aSpatial patterns of urban growth :|bcase study of the Cincinnati Metropolitan Area from 1950 to 1990 /|cby Weifeng Wang |aWang, Weifeng"
"|aThe influence of framing on the decision over how much participation to allow from subordinates in organizational decision-making :|ban exploration of the Vroom and Jago model /|cby Steven B Moser |aMoser, Steven B"
"|aAqueous transport of dieldrin residues in soils,|cby John David Eye |aEye, John David"
"|aThe role of contour adjacency and compactness in pattern discrimination /|cby Robert G. Wait |aWait, Robert Gregory"
"|aInvestigation of a parameter estimation algorithm for spatial sine testing /|cby Filip Deblauwe |aDeblauwe, Filip"
"|aA comparison of academic achievement of regular students and post-developmental students in technical education programs at a selected community college /|cby Russell Frank Jerd, Sr |aJerd, Russell Frank"
"|aColor image coding and compression for picture communication /|cby Ching-Jing Yung |aYung, Ching-jing"
"|aAn exploratory study of teacher stress reduction programs :|bcognitive information versus self-applied relaxation /|cby Michael F. Landwehr |aLandwehr, Michael F"
"|aThe effects of counselor gender and expectation of expertness upon knowledge obtained and perceptions of assertion training effectiveness /|cby Barbara Mintz Hollander |aHollander, Barbara Mintz"
"|aEconomic development and settlement patterns in the flood plain of the Upper Ohio Valley,|bwith special reference given to Flood Damage Reach 11 (Pt. Pleasant, West Virginia to Marietta, Ohio)|cBy Michael P. Marchioni |aMarchioni, Michael Peter"
"|aEdicion critica y estudio de una comedia de Calderón, La sibila del oriente y gran reyna de Sabá /|cby Fernando R. Jiménez |aJiménez, Fernando R"
"|aElementary school teachers' perceptions of school psychologists' effectiveness :|bas related to the amount of group-oriented proactive services provided /|cby Michael Alan Williams |aWilliams, Michael Alan"
"|aThe preludes opus 28 by Fryderyk Chopin with emphasis on Polish sources /|cby Janet Marie Lopinski |aLopinski, Janet Marie"
"|aDevelopment and evaluation of a new membrane method for the simultaneous detection of Escherichia coli and total coliforms in water /|cby Kristen Pauline Brenner |aBrenner, Kristen Pauline"
"|aThe role of iron in the intestinal uptake of cadmium in the newborn rat /|cby Laureano Leon |aLeon, Laureano"
"|aMother-infant interactions in the Gunn rat :|ba model for the study of neonatal at-risk conditions /|cby Judith Ann Kuntz |aKuntz, Judith Ann"
"|aWhat's happening in the classroom :|ban analysis of classroom interactions /|cby Elaine M. Mueninghoff |aMueninghoff, Elaine M"
"|aAntigenicity and immunogenicity of extracts from Histoplasma capsulatum yeasts /|cby Ana Maria Gomez |aGomez, Ana Maria"
"|aStratigraphy and paleoecology of the Miamitown shale (Upper Ordovician) :|bOhio, Indiana, and Kentucky /|cby Benjamin F. Dattilo |aDattilo, Benjamin F"
